car	driveType	surface	path	value
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.gearsSet	AlfaRomeoGiuliaGTAJunior1300Set0
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.frontDiff.ratio	25//25
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.frontDiff.lsdRampAngle	N/A
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.frontDiff.lsdPlates	0
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.frontDiff.lsdPreload	0 Nm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.frontARB	2500 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.springs.FL	200000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.springs.FR	200000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.springs.RL	26000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.springs.RR	26000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.rideHeight.FL	23.3 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.rideHeight.FR	23.3 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.rideHeight.RL	71.1 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.rideHeight.RR	71.1 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FL.slowBump	3000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FL.slowRebound	5500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FL.fastBump	2000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FL.fastRebound	4000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FR.slowBump	3000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FR.slowRebound	5500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FR.fastBump	2000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FR.fastRebound	4000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RL.slowBump	750
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RL.slowRebound	2500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RL.fastBump	500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RL.fastRebound	1500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RR.slowBump	750
