"car"	"driveType"	"surface"	"path"	"value"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"drivetrain.gearsSet"	"AlfaRomeoGiuliaGTAJunior1300Set4"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"drivetrain.frontDiff.ratio"	"25//25"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"drivetrain.frontDiff.lsdRampAngle"	"N/A"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"drivetrain.frontDiff.lsdPlates"	"0"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"drivetrain.frontDiff.lsdPreload"	"0 Nm"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"suspension.frontARB"	"2500 N/m"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"suspension.springs.FL"	"200000 N/m"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"suspension.springs.FR"	"200000 N/m"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"suspension.springs.RL"	"26000 N/m"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"suspension.springs.RR"	"26000 N/m"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"suspension.rideHeight.FL"	"23.3 mm"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"suspension.rideHeight.FR"	"23.3 mm"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"suspension.rideHeight.RL"	"71.1 mm"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"suspension.rideHeight.RR"	"71.1 mm"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.FL.slowBump"	"3000"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.FL.slowRebound"	"5500"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.FL.fastBump"	"2000"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.FL.fastRebound"	"4000"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.FR.slowBump"	"3000"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.FR.slowRebound"	"5500"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.FR.fastBump"	"2000"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.FR.fastRebound"	"4000"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.RL.slowBump"	"750"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.RL.slowRebound"	"2500"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.RL.fastBump"	"500"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.RL.fastRebound"	"1500"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.RR.slowBump"	"750"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.RR.slowRebound"	"2500"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.RR.fastBump"	"500"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"dampers.RR.fastRebound"	"1500"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.FL.pressure"	"32 PSI"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.FL.camber"	"-1.5?"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.FL.toe"	"0.029?"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.FR.pressure"	"32 PSI"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.FR.camber"	"-1.5?"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.FR.toe"	"0.029?"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.RL.pressure"	"32 PSI"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.RL.camber"	"0?"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.RL.toe"	"0?"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.RR.pressure"	"32 PSI"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.RR.camber"	"0?"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"tyres.RR.toe"	"0?"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"brakes.brakeBias"	"50% front"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"brakes.propValvePressure"	"2.5"
"Alfa Romeo Giulia GTA Junior 1300"	"FWD"	"gravel"	"brakes.handbrakeMultiplier"	"1"
"Alpine A110 1800"	"RWD"	"gravel"	"drivetrain.gearsSet"	"AlpineA1101800Set2"
"Alpine A110 1800"	"RWD"	"gravel"	"drivetrain.rearDiff.ratio"	"31//8"
"Alpine A110 1800"	"RWD"	"gravel"	"drivetrain.rearDiff.lsdRampAngle"	"60_40"
"Alpine A110 1800"	"RWD"	"gravel"	"drivetrain.rearDiff.lsdPlates"	"4"
"Alpine A110 1800"	"RWD"	"gravel"	"drivetrain.rearDiff.lsdPreload"	"90 Nm"
"Alpine A110 1800"	"RWD"	"gravel"	"suspension.frontARB"	"6750 N/m"
"Alpine A110 1800"	"RWD"	"gravel"	"suspension.springs.FL"	"210000 N/m"
"Alpine A110 1800"	"RWD"	"gravel"	"suspension.springs.FR"	"210000 N/m"
"Alpine A110 1800"	"RWD"	"gravel"	"suspension.springs.RL"	"160000 N/m"
